Created          DealCid                                                      DealId  Provider  State                          On Chain?        Slashed?  PieceCID                                                          Size       Price               Duration  Message
Sep  1 23:24:17  bafyreihts6n44fgi3buinl3dofaxtchqbndnzpjoe4qzuyuycrkmn4ku24  62274  t010225  StorageDealSealing             N                N  baga6ea4seaqair3zydzehcmjbtybwennkrc2ljkep23zutjgpz4j25nyjlafyfy  7.938 MiB  0.000075442 FIL     603536  
Sep  1 23:24:21  bafyreiazefkxa6lji4wzoamazlph7tsq64cz73tkf5iqvbvhlj55tbqwey  62273  t010257  StorageDealSealing             N                N  baga6ea4seaqatlklryvzpz3oudbsz4sydrbiihtqo3ronxvrh5x2pqph4z4tsii  7.938 MiB  0.000075442 FIL     603536  
Sep  1 23:24:25  bafyreidbiqvg5p4nsh2dvwshpr4uc2hj2kf5w26ria6h5qhuifrnshrd6q  62287  t016271  StorageDealSealing             N                N  baga6ea4seaqktskigrercg5ltjfveelhiuva5r6oauhxks5uobm4iveot6hcuoa  7.938 MiB  0.000075402375 FIL  603219  
Sep  1 23:24:29  bafyreibieug5b4kkyfnuycc3nhjggxaxlvvpqnweguexihmwwof2zsu3ke  0      t015647  StorageDealTransferring        N                N  baga6ea4seaqflvezbtvpljbtwguvbxz66x4hmdmj7omsb2ejabxjzgjzcpkwkla  7.938 MiB  0.000075413125 FIL  603305  
Sep  1 23:24:40  bafyreicetshtro25hl6b4adzmz4w4ebe75o36w2mjcwrzvokx6exyngvrm  0      t07775   StorageDealTransferring        N                N  baga6ea4seaqgv3rxgfafkmbxdz6fitw6zzjpkky2dkdwvy63zwvaiauklj2zynq  7.938 MiB  0.000075200625 FIL  601605  
Sep  1 23:24:45  bafyreiehjaqbunwwxcaqnqw4zqxkiffvmeblfjct2b523rid5dqp3uhzyq  0      t010449  StorageDealTransferring        N                N  baga6ea4seaqfdw6dehq6527morn4sm7wlhgxfre6upjv4gvcvshdtoeo64ktufa  7.938 MiB  0.00007521175 FIL   601694  
Sep  1 23:24:48  bafyreidept2imtwlw5rciptnwlxcsdodzex22rfvfadwixk4b3epr3xdua  62294  t015947  StorageDealSealing             N                N  baga6ea4seaqcad2reb6jrjbvzd7iqqsujorlvfnvdzldx4cs4gh3zucfv4rncny  7.938 MiB  0.0000752945 FIL    602356  
Sep  1 23:24:52  bafyreidkdptwwol2uj3iaapfywoeaspyakxsgeci262g4aellknsqv7zve  0      t02419   StorageDealTransferring        N                N  baga6ea4seaqgvbqugqxj2svspxqnvwmtwtyv2vkzzltnyctwx5ms4mcs4dglwhq  7.938 MiB  0.000075284875 FIL  602279  
Sep  1 23:24:56  bafyreifqtxcozeiizecmgzadhf7dwysrx5agtui6jzjzps2pswpb6gpiua  62299  t014556  StorageDealSealing             N                N  baga6ea4seaqk2nwjyu3xpfvcw4bn46vt3ryxqmrjxp6klqit3b5m2i6g6my74ji  7.938 MiB  0.000075414125 FIL  603313  
Sep  1 23:24:59  bafyreibloexmvnnjz7e65ddkidvy2cl4e626zhbomam2epaggbhprhb23y  62288  t015938  StorageDealSealing             N                N  baga6ea4seaqfbru7vqct2obdwhhsfwqyy4namkf7tjrstqh2kc6kgp7ro7fzqli  7.938 MiB  0.00007538275 FIL   603062  
Sep  1 23:25:03  bafyreihkkpw6thvlhwfluyxnhv33oimhach3splp7xofprbcsnagbfgnoi  62290  t014311  StorageDealActive              Y (epoch 25319)  N  baga6ea4seaqivimmh4jqr4pt4k2dnzw2q3hkmh7lqxd4dhsbllgz6rukiuywkby  7.938 MiB  0.000075131625 FIL  601053  
Sep  1 23:25:06  bafyreie7hea2mxnb63gcgh66ibaacfxl3h2is7pnjkvrnhnrhdbxyblcfm  62283  t014433  StorageDealSealing             N                N  baga6ea4seaqpg23rvl4xko3wdyifessbhei2dz7ieqwh7ei6grfon63ta7sb4li  7.938 MiB  0.000075238125 FIL  601905  
Sep  1 23:25:09  bafyreie6fmu5ix7qtxtaathzjqbpovpxoi75kuxvewi7wnlxcmdjhnwt6u  62296  t010558  StorageDealSealing             N                N  baga6ea4seaqpl4ei47ca734iwyrooqafaibfrkv3a3wpatc3koww75raym2voji  7.938 MiB  0.000075148 FIL     601184  
Sep  1 23:25:12  bafyreidsyjgm4vibj6b2kx2mdoi6yyndnncek5kx464cvonkgiz3rwbmwm  0      t014314  StorageDealTransferring        N                N  baga6ea4seaqnzwemaxmo3qp67x3rdp5tyao45isywudamntdgmenbxzlsnzrkdq  7.938 MiB  0.000075363 FIL     602904  
Sep  1 23:25:18  bafyreicc65emjnzcyz7wieuwx36qc62sbzkqeqx7w3r5ggxtrrusdfdq4a  0      t03619   StorageDealTransferring        N                N  baga6ea4seaqdzfad5cn5dagzbybmmdju2xewoms3flugm2nfcnf4gpkr3ixdaki  7.938 MiB  0.000075159 FIL     601272  
Sep  1 23:25:21  bafyreiegayubgqltk2ieflnobhjzwh35vo2cnc73ok2pcuwfipoip3drdq  62314  t014394  StorageDealActive              Y (epoch 25630)  N  baga6ea4seaqhjzgfhdimmau3obqx4c4rtbtr53hibiugyebqhok5uypttjliyiq  7.938 MiB  0.000075388 FIL     603104  
Sep  1 23:25:55  bafyreidvoro4qongobe4bauesqqj34pntoeiqyhdfplfaku3qnreid6q3a  0      t03345   StorageDealTransferring        N                N  baga6ea4seaqeqgfi5sqd647pfgjmoz7rutut4izjpvurfis2oigtrdibmbll4kq  7.938 MiB  0.000075326375 FIL  602611  
Sep  1 23:25:57  bafyreihdh4hqcndzseepw363ep5mhqfwzfnf7kqwodmkwraddidz2cqny4  0      t016228  StorageDealError               N                N  baga6ea4seaqeq5jlbscgqnx56j2itstaq3qunrhs7qhw3dy77kld24pxtipzeli  7.938 MiB  0.00007525625 FIL   602050  error reading Response message: stream reset
Sep  1 23:26:03  bafyreifqhp66oovmzny7n6v4un57mpoesglgrhzeuxm4mzjzyhexqytgee  0      t08432   StorageDealTransferring        N                N  baga6ea4seaqgkosm2el7ne5quqsiilcov257pchqricrolewq34dadviihugqoy  7.938 MiB  0.000075418125 FIL  603345  
