wiki.zip.aa
t01945-2342 t01581-2359 t01699-2367 t02014-2391
Retrieving t01945 2342 bafykbzaceantezfhi5gfy22imlfbb4gofn75vnu2lo3bzje4fddiyrph2d5ls
> Recv: 0 B, Paid 0 FIL, ClientEventOpen (DealStatusNew)
> Recv: 99.01 MiB, Paid 0.00000000019086706 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 100 MiB, Paid 0.00000000019086706 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 101 MiB, Paid 0.00000000019086706 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 102 MiB, Paid 0.00000000019086706 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 103 MiB, Paid 0.00000000019086706 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 104 MiB, Paid 0.00000000019086706 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 104 MiB, Paid 0.00000000019086706 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 105 MiB, Paid 0.00000000019086706 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 105 MiB, Paid 0.00000000019086706 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 105 MiB, Paid 0.000000000220227188 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 106 MiB, Paid 0.000000000220227188 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 107 MiB, Paid 0.000000000220227188 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 108 MiB, Paid 0.000000000220227188 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 109 MiB, Paid 0.000000000220227188 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 110 MiB, Paid 0.000000000220227188 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 111 MiB, Paid 0.000000000220227188 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 112 MiB, Paid 0.000000000220227188 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 113 MiB, Paid 0.000000000220227188 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 114 MiB, Paid 0.000000000220227188 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 115 MiB, Paid 0.000000000220227188 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 116 MiB, Paid 0.000000000220227188 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 117 MiB, Paid 0.000000000220227188 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 118 MiB, Paid 0.000000000220227188 FIL, ClientEventBlocksReceived (DealStatusOngoing)
